Reference;Region;Bioregion;WDepth;Specie;Genus;LifeForm;Core length;DBD;Mud;CaCO3;OM;Corg;;
1;Caribean Sea;Tropical Atlantic;;mixed;mixed;Mixed;3;;2.9;1;;0.75;;
2;Mediterranean Sea;Mediterranean;;Thalassia testudinum;Thalassia spp.;Persistent;200;;;;;1.411764706;;
3;Atlantic Europe;Temperate North Atlantic;Intertidal;Zostera noltii;Zostera spp.;Opportinistic;5;;41.4;;;1.8;;
3;Atlantic Europe;Temperate North Atlantic;Intertidal;Zostera noltii;Zostera spp.;Opportinistic;5;;52.9;;;2.617;;
4;SE Asia;Tropical Indo-Pacific;Shallow;mixed;mixed;Mixed;10;;;98;;0.3;;
4;SE Asia;Tropical Indo-Pacific;intertidal;Enhalus acoroides;Enhalus spp.;Persistent;10;;;10.8;;1.89;;
5;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;11.3;98;;0.29;;
5;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;11.2;99;;0.36;;
5;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;13.7;99;;0.34;;
5;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;17.8;97;;0.29;;
5;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;39.1;10;;1.89;;
5;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;26;7.5;;0.58;;
6;E Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendron spp.;Persistent;7;;;27.65;;0.68;;
6;E Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendron spp.;Persistent;7;;;80.3;;0.67;;
6;E Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendron spp.;Persistent;7;;;88.03;;0.63;;
6;E Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendron spp.;Persistent;7;;;55.42;;5.13;;
6;E Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendron spp.;Persistent;7;;;59.7;;0.67;;
7;Mediterranean Sea;Mediterranean;1;Posidonia oceanica;Posidonia spp.;Persistent;3;;;26.32;2.39;0.746;;
7;Mediterranean Sea;Mediterranean;4;Posidonia oceanica;Posidonia spp.;Persistent;3;;;13.11;1.71;0.474;;
7;Mediterranean Sea;Mediterranean;5;Posidonia oceanica;Posidonia spp.;Persistent;3;;;82.98;1.03;0.202;;
7;Mediterranean Sea;Mediterranean;13;Posidonia oceanica;Posidonia spp.;Persistent;3;;;81.43;1.19;0.266;;
7;Mediterranean Sea;Mediterranean;4;Posidonia oceanica;Posidonia spp.;Persistent;3;;;30.67;1.16;0.254;;
7;Mediterranean Sea;Mediterranean;7;Posidonia oceanica;Posidonia spp.;Persistent;3;;;38.28;1.08;0.222;;
7;Mediterranean Sea;Mediterranean;3;Posidonia oceanica;Posidonia spp.;Persistent;3;;;89.11;1.73;0.482;;
7;Mediterranean Sea;Mediterranean;8;Posidonia oceanica;Posidonia spp.;Persistent;3;;;75.65;2.89;0.946;;
7;Mediterranean Sea;Mediterranean;5;Posidonia oceanica;Posidonia spp.;Persistent;3;;;40.58;1.76;0.494;;
7;Mediterranean Sea;Mediterranean;10;Posidonia oceanica;Posidonia spp.;Persistent;3;;;61.45;2.17;0.658;;
7;Mediterranean Sea;Mediterranean;20;Posidonia oceanica;Posidonia spp.;Persistent;3;;;36.65;1.54;0.406;;
7;Mediterranean Sea;Mediterranean;5;Posidonia oceanica;Posidonia spp.;Persistent;3;;;17.49;2.37;0.738;;
7;Mediterranean Sea;Mediterranean;10;Posidonia oceanica;Posidonia spp.;Persistent;3;;;18.86;4.47;1.578;;
7;Mediterranean Sea;Mediterranean;20;Posidonia oceanica;Posidonia spp.;Persistent;3;;;12.97;3.38;1.142;;
7;Mediterranean Sea;Mediterranean;30;Posidonia oceanica;Posidonia spp.;Persistent;3;;;27.98;2.87;0.938;;
8;Mediterranean Sea;Mediterranean;4;Posidonia oceanica;Posidonia spp.;Persistent;1;;;;;0.2371;;
9;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;;;7.1;2.63;;
9;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;;;6;2.19;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.615;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.3789;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.3007;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.458;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.3393;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.2664;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.2339;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.205;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.255;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.2131;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.2586;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.2245;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.2712;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.2198;;
10;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;2;;;;;0.198;;
11;Mediterranean Sea;Mediterranean;;Cymodocea nodosa;Cymodocea spp.;Opportinistic;10;;;31.7;;;;
11;Mediterranean Sea;Mediterranean;;Cymodocea nodosa;Cymodocea spp.;Opportinistic;10;;;27.7;;;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;188;0.74338;;;7.050587392;2.610234957;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;140;0.583666667;;;12.31064927;4.714259709;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;150;0.4421125;;;10.03867628;3.805470513;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;200;0.6116;;;9.016559612;3.396623845;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;420;0.7525;;;4.057463062;1.412985225;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;310;0.5114;;;4.25840436;1.493361744;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;160;0.5608;;;6.711181497;2.474472599;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;160;0.696375;;;12.39871808;4.749487233;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;122;0.413;;;13.19073673;5.066294693;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;220;0.71225;;;4.255106443;1.492042577;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;220;0.6038;;;9.571233442;3.618493377;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;220;0.53354;;;7.865874264;2.936349706;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;145;0.576333333;;;11.51572389;4.396289556;;
12;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;155;0.548666667;;;9.47992334;3.581969336;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;0.6;0.03;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;0.5;0;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;0.8;0.11;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;0.4;0;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;0.4;0;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;1.3;0.31;;
13;NE America;Temperate North Atlantic;;Ruppia maritima;Ruppia spp.;Colonising;;;;;0.7;0.07;;
13;NE America;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;;;;;1.1;0.23;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;1.2;0.27;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;1.8;0.51;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;1;0.19;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;0.8;0.11;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;1.2;0.27;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;2;0.59;;
13;NE America;Temperate North Atlantic;;Zostera marina;Halodule spp.;Colonising;;;;;2.4;0.75;;
13;NE America;Temperate North Atlantic;;Ruppia maritima;Ruppia spp.;Colonising;;;;;1.9;0.55;;
13;NE America;Temperate North Atlantic;;Halodule wrightii;Halodule spp.;Colonising;;;;;1.4;0.35;;
13;NE America;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;;;;;3.5;1.19;;
14;NE America;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;15;1.81;;;1.13;0.09;;
14;NE America;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;15;1.83;;;0.8;0.08;;
15;E Australia;Tropical Indo-Pacific;;mixed;mixed;Mixed;10;;;;;0.59096016;;
16;SE Asia;Tropical Indo-Pacific;;mixed;mixed;Mixed;;;1.17;;;0.41;;
17;Mediterranean Sea;Mediterranean;;Zostera marina;Zostera spp.;Opportinistic;10;;;;;0.985;;
18;Atlantic Europe;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;5;;7;;;0.18;;
18;Atlantic Europe;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;5;;49;;;2.07;;
18;Atlantic Europe;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;5;;28;;;0.73;;
18;Atlantic Europe;Temperate North Atlantic;;Zostera marina;Zostera spp.;Opportinistic;5;;13;;;0.3;;
