Ref;Location;lat;long;Region;Bioregion;Depth;Specie;Genus;Life-form;DBD;Mud %;CaCO3;OM;Corg
1;St._Andrews_Bay_Florida_USA;30.14620242;-85.69484884;Caribean Sea;Tropical Atlantic;;mixed;mixed;;;2.9;1;;0.75
2;Jimmy_Key;25.101919;-80.537408;Caribean Sea;Tropical Atlantic;;Thalassia testudinum;Thalassia spp.;Persistent;;;;;1.411764706
3;Arcachon Bay;44.67649036;-1.113231122;Atlantic Europe;Temperate North Atlantic;Intertidal;Zostera noltii;Zostera spp.;Opportinistic;;41.4;;;1.8
3;Arcachon Bay;44.67649036;-1.113231122;Atlantic Europe;Temperate North Atlantic;Intertidal;Zostera noltii;Zostera spp.;Opportinistic;;52.9;;;2.617
4;south Sulawesi;-5.05;119.333333;SE Asia;Tropical Indo-Pacific;Shallow;mixed;mixed;;;;98;;0.3
4;south Sulawesi;-5.05;119.333333;SE Asia;Tropical Indo-Pacific;intertidal;Enhalus acoroides;Enhalus spp.;Persistent;;;10.8;;1.89
5;south Sulawesi;-5.05;119.333333;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;11.3;98;;0.29
5;south Sulawesi;-5.05;119.333333;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;11.2;99;;0.36
5;south Sulawesi;-5.05;119.333333;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;13.7;99;;0.34
5;south Sulawesi;-5.05;119.333333;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;17.8;97;;0.29
5;south Sulawesi;-5.05;119.333333;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;39.1;10;;1.89
5;south Sulawesi;-5.05;119.333333;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;26;7.5;;0.58
6;Gazi_Bay;-4.441361788;39.51905006;E Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;;27.65;;0.68
6;Gazi_Bay;-4.441361788;39.51905006;E Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;;80.3;;0.67
6;Gazi_Bay;-4.441361788;39.51905006;E Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;;88.03;;0.63
6;Gazi_Bay;-4.441361788;39.51905006;E Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;;55.42;;5.13
6;Gazi_Bay;-4.441361788;39.51905006;E Africa;Tropical Indo-Pacific;;Thalassodendron ciliatum;Thalassodendrum spp.;Persistent;;;59.7;;0.67
7;Portlligat;42.29304672;3.289290111;Mediterranean Sea;Mediterranean;1;Posidonia oceanica;Posidonia spp.;Persistent;;;26.32;2.39;0.746
7;Portlligat;42.29304672;3.289290111;Mediterranean Sea;Mediterranean;4;Posidonia oceanica;Posidonia spp.;Persistent;;;13.11;1.71;0.474
7;Medas;42.0449773;3.2205117;Mediterranean Sea;Mediterranean;5;Posidonia oceanica;Posidonia spp.;Persistent;;;82.98;1.03;0.202
7;Medas;42.0449773;3.2205117;Mediterranean Sea;Mediterranean;13;Posidonia oceanica;Posidonia spp.;Persistent;;;81.43;1.19;0.266
7;L'Amentlla;40.88481495;0.808846206;Mediterranean Sea;Mediterranean;4;Posidonia oceanica;Posidonia spp.;Persistent;;;30.67;1.16;0.254
7;L'Amentlla;40.88481495;0.808846206;Mediterranean Sea;Mediterranean;7;Posidonia oceanica;Posidonia spp.;Persistent;;;38.28;1.08;0.222
7;Campello;38.41367515;-0.390186135;Mediterranean Sea;Mediterranean;3;Posidonia oceanica;Posidonia spp.;Persistent;;;89.11;1.73;0.482
7;Campello;38.41367515;-0.390186135;Mediterranean Sea;Mediterranean;8;Posidonia oceanica;Posidonia spp.;Persistent;;;75.65;2.89;0.946
7;Tabarca;38.16168681;-0.477286389;Mediterranean Sea;Mediterranean;5;Posidonia oceanica;Posidonia spp.;Persistent;;;40.58;1.76;0.494
7;Tabarca;38.16168681;-0.477286389;Mediterranean Sea;Mediterranean;10;Posidonia oceanica;Posidonia spp.;Persistent;;;61.45;2.17;0.658
7;Tabarca;38.16168681;-0.477286389;Mediterranean Sea;Mediterranean;20;Posidonia oceanica;Posidonia spp.;Persistent;;;36.65;1.54;0.406
7;Ischia;40.69472509;13.90166838;Mediterranean Sea;Mediterranean;5;Posidonia oceanica;Posidonia spp.;Persistent;;;17.49;2.37;0.738
7;Ischia;40.69472509;13.90166838;Mediterranean Sea;Mediterranean;10;Posidonia oceanica;Posidonia spp.;Persistent;;;18.86;4.47;1.578
7;Ischia;40.69472509;13.90166838;Mediterranean Sea;Mediterranean;20;Posidonia oceanica;Posidonia spp.;Persistent;;;12.97;3.38;1.142
7;Ischia;40.69472509;13.90166838;Mediterranean Sea;Mediterranean;30;Posidonia oceanica;Posidonia spp.;Persistent;;;27.98;2.87;0.938
8;Marconi_Gulf;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;4;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.2371
9;Cape_Bolinao;16.4505;119.9225;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;;;7.1;2.63
9;Cape_Bolinao;16.412;119.907;SE Asia;Tropical Indo-Pacific;;mixed;mixed;;;;;6;2.19
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.615
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.3789
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.3007
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.458
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.3393
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.2664
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.2339
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.205
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.255
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.2131
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.2586
10;NW_Marconi;44.34019948;9.232234547;Mediterranean Sea;Mediterranean;;Posidonia oceanica;Posidonia spp.;Persistent;;;;;0.2245
